0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:31 +0530] "GET /OnlinePropertySale/viewuser.html HTTP/1.1" 200 13542
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:31 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:31 +0530] "GET /OnlinePropertySale/agentsusersgrid.html?page=1&rows=10 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:36 +0530] "GET /OnlinePropertySale/agentlogout.html HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:36 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/registration.html HTTP/1.1" 200 49608
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/demo.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/Datepicker/jquery-1.10.2.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:38 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/login1.html HTTP/1.1" 200 6493
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/demo.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:43 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:44 +0530] "POST /OnlinePropertySale/loginsuccess.html HTTP/1.1" 200 4666
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:02:44 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
